,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails
0,0,10000,500.0,0.0,H,T,Lose,0,1
1,1,9500.0,475.0,0.0,H,T,Lose,0,2
2,2,9025.0,451.25,0.3,H,H,Win,1,2
3,3,9476.25,473.8125,0.5,H,H,Win,2,2
4,4,9950.0625,497.503125,0.6,H,H,Win,3,2
5,5,10447.565625,522.37828125,0.5,H,T,Lose,3,3
6,6,9925.18734375,496.2593671875,0.4,H,T,Lose,3,4
7,7,9428.9279765625,471.446398828125,0.5,H,H,Win,4,4
8,8,9900.374375390624,495.01871876953123,0.4,H,T,Lose,4,5
9,9,9405.355656621092,470.2677828310546,0.4,H,T,Lose,4,6
10,10,8935.087873790037,446.75439368950185,0.4,H,T,Lose,4,7
11,11,8488.333480100535,424.4166740050268,0.4,H,H,Win,5,7
12,12,8912.75015410556,445.63750770527804,0.4,H,T,Lose,5,8
13,13,8467.112646400283,423.35563232001414,0.4,H,T,Lose,5,9
14,14,8043.757014080269,402.1878507040135,0.3,H,T,Lose,5,10
15,15,7641.569163376255,382.0784581688128,0.3,H,T,Lose,5,11
16,16,7259.490705207442,362.97453526037214,0.3,H,T,Lose,5,12
17,17,6896.51616994707,344.82580849735353,0.3,H,H,Win,6,12
18,18,7241.341978444423,362.0670989222212,0.3,H,T,Lose,6,13
19,19,6879.274879522202,343.96374397611015,0.3,H,H,Win,7,13
20,20,7223.238623498312,361.16193117491565,0.4,H,H,Win,8,13
21,21,7584.400554673228,379.2200277336614,0.4,H,T,Lose,8,14
22,22,7205.180526939566,360.2590263469783,0.3,H,T,Lose,8,15
23,23,6844.921500592588,342.2460750296294,0.3,H,T,Lose,8,16
24,24,6502.6754255629585,325.13377127814795,0.4,H,H,Win,9,16
25,25,6827.809196841106,341.39045984205535,0.3,H,T,Lose,9,17
26,26,6486.418736999051,324.3209368499526,0.3,H,T,Lose,9,18
27,27,6162.0978001490985,308.10489000745497,0.4,H,H,Win,10,18
28,28,6470.202690156553,323.5101345078277,0.3,H,T,Lose,10,19
29,29,6146.692555648726,307.3346277824363,0.3,H,T,Lose,10,20
30,30,5839.357927866289,291.96789639331445,0.3,H,T,Lose,10,21
31,31,5547.390031472974,277.36950157364873,0.3,H,H,Win,11,21
32,32,5824.759533046623,291.23797665233116,0.4,H,H,Win,12,21
33,33,6115.997509698954,305.7998754849477,0.4,H,H,Win,13,21
34,34,6421.7973851839015,321.0898692591951,0.4,H,H,Win,14,21
35,35,6742.887254443097,337.1443627221549,0.4,H,H,Win,15,21
36,36,7080.031617165252,354.0015808582626,0.4,H,H,Win,16,21
37,37,7434.033198023515,371.7016599011758,0.4,H,T,Lose,16,22
38,38,7062.331538122339,353.11657690611696,0.4,H,H,Win,17,22
39,39,7415.448115028456,370.77240575142287,0.5,H,H,Win,18,22
40,40,7786.22052077988,389.311026038994,0.4,H,T,Lose,18,23
41,41,7396.909494740886,369.8454747370443,0.5,H,H,Win,19,23
42,42,7766.75496947793,388.3377484738965,0.5,H,H,Win,20,23
43,43,8155.092717951827,407.75463589759136,0.5,H,T,Lose,20,24
44,44,7747.338082054235,387.36690410271177,0.4,H,T,Lose,20,25
