,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
0,10000,100.0,1,0,T,1.0,Lose,0,H,,10000,100.0,0,0,T,0.0,Win,1,T,,10000,100.0,0,0,T,0.0,Win,1,T,,10000,100.0,1,0,T,1.0,Lose,0,H,,10000,100.0,0,0,T,0.0,Win,1,T,,10000,100.0,0,0,T,0.0,Win,1,T,,10000,100.0,0,0,T,0.0,Win,1,T,,10000,100.0,1,0,T,1.0,Lose,0,H,,10000,100.0,0,0,T,0.0,Win,1,T,,10000,100.0,0,0,T,0.0,Win,1,T
1,9900.0,99.0,2,1,H,1.0,Win,0,H,,10100.0,101.0,1,1,H,0.5,Win,1,H,,10100.0,101.0,1,1,H,0.5,Win,1,H,,9900.0,99.0,1,1,H,0.5,Lose,1,T,,10100.0,101.0,0,1,H,0.0,Lose,2,T,,10100.0,101.0,1,1,H,0.5,Win,1,H,,10100.0,101.0,1,1,H,0.5,Win,1,H,,9900.0,99.0,1,1,H,0.5,Lose,1,T,,10100.0,101.0,0,1,H,0.0,Lose,2,T,,10100.0,101.0,1,1,H,0.5,Win,1,H
2,9999.0,99.99000000000001,3,2,T,1.0,Lose,0,H,,10201.0,102.01,1,2,H,0.3,Lose,2,T,,10201.0,102.01,1,2,H,0.3,Lose,2,T,,9801.0,98.01,2,2,H,0.7,Win,1,H,,9999.0,99.99000000000001,1,2,H,0.3,Win,2,H,,10201.0,102.01,1,2,H,0.3,Lose,2,T,,10201.0,102.01,2,2,H,0.7,Win,1,H,,9801.0,98.01,1,2,H,0.3,Lose,2,T,,9999.0,99.99000000000001,0,2,H,0.0,Lose,3,T,,10201.0,102.01,1,2,H,0.3,Lose,2,T
3,9899.01,98.9901,4,3,T,1.0,Lose,0,H,,10098.99,100.9899,1,3,H,0.2,Lose,3,T,,10098.99,100.9899,2,3,H,0.5,Win,2,H,,9899.01,98.9901,2,3,H,0.5,Lose,2,T,,10098.99,100.9899,1,3,H,0.2,Lose,3,T,,10098.99,100.9899,1,3,H,0.2,Lose,3,T,,10303.01,103.0301,2,3,H,0.5,Lose,2,T,,9702.99,97.0299,2,3,H,0.5,Win,2,H,,9899.01,98.9901,1,3,H,0.2,Win,3,H,,10098.99,100.9899,2,3,H,0.5,Win,2,H
4,9800.0199,98.000199,4,4,T,0.8,Win,1,T,,9998.0001,99.980001,1,4,H,0.2,Lose,4,T,,10199.9799,101.99979900000001,2,4,H,0.4,Lose,3,T,,9800.0199,98.000199,2,4,H,0.4,Lose,3,T,,9998.0001,99.980001,2,4,H,0.4,Win,3,H,,9998.0001,99.980001,1,4,H,0.2,Lose,4,T,,10199.9799,101.99979900000001,2,4,H,0.4,Lose,3,T,,9800.0199,98.000199,2,4,H,0.4,Lose,3,T,,9998.000100000001,99.98000100000002,1,4,H,0.2,Lose,4,T,,10199.9799,101.99979900000001,2,4,H,0.4,Lose,3,T
5,9898.020099,98.98020099,4,5,T,0.7,Win,2,T,,9898.020099,98.98020099,1,5,H,0.2,Lose,5,T,,10097.980101000001,100.97980101000002,2,5,H,0.3,Lose,4,T,,9702.019701,97.02019700999999,2,5,H,0.3,Lose,4,T,,10097.980101,100.97980100999999,3,5,H,0.5,Win,3,H,,9898.020099,98.98020099,2,5,H,0.3,Win,4,H,,10097.980101000001,100.97980101000002,3,5,H,0.5,Win,3,H,,9702.019701,97.02019700999999,3,5,H,0.5,Win,3,H,,9898.020099000001,98.98020099000001,2,5,H,0.3,Win,4,H,,10097.980101000001,100.97980101000002,3,5,H,0.5,Win,3,H
6,9997.000299989999,99.97000299989999,4,6,T,0.6,Win,3,T,,9799.03989801,97.9903989801,2,6,H,0.3,Win,5,H,,9997.00029999,99.9700029999,2,6,H,0.3,Lose,5,T,,9604.999503989999,96.04999503989998,2,6,H,0.3,Lose,5,T,,10198.95990201,101.9895990201,3,6,H,0.4,Lose,4,T,,9997.000299989999,99.97000299989999,2,6,H,0.3,Lose,5,T,,10198.959902010001,101.98959902010002,4,6,H,0.6,Win,3,H,,9799.03989801,97.9903989801,3,6,H,0.4,Lose,4,T,,9997.00029999,99.9700029999,2,6,H,0.3,Lose,5,T,,10198.959902010001,101.98959902010002,4,6,H,0.6,Win,3,H
7,10096.9703029899,100.969703029899,5,7,H,0.6,Win,3,H,,9897.0302969901,98.97030296990101,3,7,H,0.4,Win,5,H,,9897.0302969901,98.97030296990101,3,7,H,0.4,Win,5,H,,9508.949508950098,95.08949508950099,2,7,H,0.2,Lose,6,T,,10096.9703029899,100.969703029899,4,7,H,0.5,Win,4,H,,9897.030296990099,98.97030296990098,3,7,H,0.4,Win,5,H,,10300.949501030102,103.00949501030102,5,7,H,0.6,Win,3,H,,9701.0494990299,97.010494990299,4,7,H,0.5,Win,4,H,,9897.0302969901,98.97030296990101,3,7,H,0.4,Win,5,H,,10300.949501030102,103.00949501030102,4,7,H,0.5,Lose,4,T
8,10197.940006019799,101.97940006019799,5,8,T,0.6,Win,4,T,,9996.000599960002,99.96000599960001,4,8,H,0.4,Win,5,H,,9996.000599960002,99.96000599960001,4,8,H,0.4,Win,5,H,,9413.860013860596,94.13860013860597,2,8,H,0.2,Lose,7,T,,10197.940006019799,101.97940006019799,5,8,H,0.6,Win,4,H,,9996.00059996,99.9600059996,3,8,H,0.3,Lose,6,T,,10403.958996040403,104.03958996040403,5,8,T,0.6,Win,4,T,,9798.0599940202,97.980599940202,4,8,H,0.4,Lose,5,T,,9996.000599960002,99.96000599960001,4,8,H,0.4,Win,5,H,,10197.9400060198,101.979400060198,5,8,H,0.6,Win,4,H
9,10299.919406079996,102.99919406079997,6,9,H,0.6,Win,4,H,,10095.9606059596,100.95960605959601,5,9,H,0.5,Win,5,H,,10095.9606059596,100.95960605959601,5,9,H,0.5,Win,5,H,,9319.72141372199,93.19721413721992,2,9,H,0.2,Lose,8,T,,10299.919406079996,102.99919406079997,5,9,H,0.5,Lose,5,T,,9896.0405939604,98.96040593960402,4,9,H,0.4,Win,6,H,,10507.998586000807,105.07998586000808,5,9,H,0.5,Lose,5,T,,9700.079394079998,97.00079394079998,5,9,H,0.5,Win,5,H,,10095.9606059596,100.95960605959601,5,9,H,0.5,Win,5,H,,10299.919406079998,102.99919406079998,6,9,H,0.6,Win,4,H
