,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,10100.0,9900.0,10100.0,9900.0,10100.0,9900.0,9900.0,9900.0,9900.0,10100.0
2,9999.0,9999.0,10201.0,9999.0,10201.0,9801.0,9801.0,9801.0,9999.0,10201.0
3,10098.99,9899.01,10098.99,9899.01,10098.99,9899.01,9702.99,9899.01,10098.99,10098.99
4,9998.0001,9800.0199,10199.9799,9998.000100000001,10199.9799,9800.0199,9605.9601,9998.000100000001,10199.9799,10199.9799
5,10097.980101,9898.020099,10097.980101000001,10097.980101000001,10301.979699,9702.019701,9702.019701000001,9898.020099000001,10301.979699,10097.980101000001
6,10198.95990201,9799.03989801,10198.959902010001,9997.00029999,10404.99949599,9799.03989801,9604.99950399,9997.00029999,10198.95990201,9997.00029999
7,10096.9703029899,9897.0302969901,10096.970302989901,10096.970302989901,10300.9495010301,9897.0302969901,9508.9495089501,10096.970302989901,10096.9703029899,9897.0302969901
8,10197.940006019799,9996.000599960002,9996.000599960002,10197.9400060198,10403.958996040401,9798.0599940202,9413.860013860598,9996.000599960002,9996.00059996,9798.0599940202
9,10299.919406079996,9896.040593960402,9896.040593960402,10299.919406079998,10507.998586000806,9700.079394079998,9507.998613999203,10095.9606059596,9896.0405939604,9700.079394079998
10,10402.918600140796,9797.080188020798,9995.000999900007,10402.918600140798,10402.918600140798,9797.080188020798,9412.918627859211,10196.920212019197,9995.000999900005,9797.080188020798
11,10298.889414139388,9895.050989901007,9895.050989901007,10506.947786142206,10298.88941413939,9699.10938614059,9507.047814137804,10298.889414139388,9895.050989901005,9699.10938614059
12,10195.900519997995,9994.001499800017,9796.100480001996,10401.878308280784,10195.900519997997,9796.100480001996,9602.118292279183,10195.900519997995,9796.100480001995,9602.118292279183
13,10093.941514798014,9894.061484802016,9894.061484802016,10505.897091363591,10297.859525197977,9894.061484802016,9698.139475201975,10297.859525197975,9698.139475201975,9698.139475201975
14,10194.880929945995,9993.002099650035,9795.120869953997,10610.956062277228,10400.838120449956,9993.002099650035,9601.158080449955,10400.838120449955,9601.158080449955,9795.120869953995
15,10092.932120646536,10092.932120646536,9697.169661254457,10717.0656229,10504.846501654456,10092.932120646536,9505.146499645456,10296.829739245455,9697.169661254455,9893.072078653535
16,10193.861441853001,9992.00279944007,9794.141357867002,10609.894966671,10399.79803663791,10193.861441853001,9410.095034649,10193.861441853001,9600.19796464191,9794.141357867
17,10295.800056271532,10091.922827434471,9892.082771445672,10503.79601700429,10503.79601700429,10295.800056271532,9315.99408430251,10295.800056271532,9696.199944288328,9696.19994428833
18,10192.842055708816,10192.842055708816,9793.161943731215,10608.833977174332,10608.833977174332,10398.758056834247,9222.834143459486,10398.758056834247,9793.161943731211,9793.161943731213
19,10090.913635151728,10294.770476265903,9695.230324293903,10502.74563740259,10502.74563740259,10294.770476265905,9315.06248489408,10294.770476265905,9891.093563168522,9891.093563168524
20,10191.822771503246,10397.718181028562,9792.182627536842,10397.718181028564,10607.773093776615,10397.718181028564,9408.213109743021,10397.718181028564,9792.182627536837,9792.182627536838
21,10293.740999218278,10293.740999218277,9890.104453812211,10501.69536283885,10713.850824714382,10501.69536283885,9314.130978645591,10293.740999218278,9890.104453812204,9694.260801261471
22,10190.803589226096,10190.803589226094,9791.203409274089,10396.67840921046,10606.712316467238,10396.67840921046,9407.272288432046,10396.67840921046,9791.203409274081,9791.203409274085
23,10292.711625118356,10292.711625118354,9693.291375181348,10292.711625118356,10712.77943963191,10500.645193302566,9313.199565547726,10292.711625118356,9693.291375181341,9693.291375181345
24,10395.63874136954,10395.638741369537,9790.224288933163,10189.784508867173,10605.65164523559,10605.651645235592,9220.067569892248,10189.784508867173,9790.224288933154,9790.22428893316
25,10291.682353955845,10499.595128783232,9692.322046043832,10087.886663778501,10711.708161687946,10711.708161687948,9127.866894193325,10291.682353955845,9692.322046043822,9692.322046043828
26,10188.765530416285,10604.591080071064,9595.398825583394,9987.007797140715,10818.825243304826,10604.591080071068,9219.145563135258,10394.599177495404,9595.398825583385,9789.245266504266
27,10086.877875112123,10710.636990871775,9691.352813839228,9887.137719169308,10710.636990871777,10710.636990871779,9126.954107503905,10290.65318572045,9691.35281383922,9887.137719169308
28,10187.746653863243,10603.530620963058,9788.26634197762,9986.009096361002,10603.53062096306,10817.743360780496,9035.684566428867,10393.559717577655,9788.26634197761,9986.009096361002
29,10085.869187324612,10497.495314753427,9886.149005397396,9886.149005397392,10709.56592717269,10925.920794388301,9126.041412093155,10289.624120401879,9886.149005397387,10085.869187324612
30,9985.010495451366,10392.520361605893,9985.01049545137,9787.287515343418,10816.661586444417,10816.661586444417,9034.780997972222,10186.72787919786,9985.01049545136,10186.727879197857
31,10084.86060040588,10288.595157989834,9885.160390496856,9689.414640189983,10924.828202308861,10708.494970579974,8944.4331879925,10288.59515798984,9885.160390496847,10084.860600405878
32,9984.01199440182,10185.709206409936,9786.308786591888,9786.308786591882,11034.07648433195,10815.579920285772,9033.877519872425,10391.481109569737,9984.011994401815,9984.011994401819
33,9884.171874457803,10083.852114345837,9688.44569872597,9688.445698725964,10923.73571948863,10923.73571948863,9124.21629507115,10495.395920665434,9884.171874457797,9884.171874457801
34,9785.330155713225,10184.690635489294,9591.56124173871,9591.561241738704,10814.498362293743,11032.973076683516,9032.974132120438,10600.349879872088,9785.33015571322,9983.013593202379
35,9883.183457270357,10082.843729134402,9687.476854156097,9687.476854156092,10922.64334591668,11143.30280745035,9123.303873441642,10494.346381073368,9687.476854156088,9883.183457270356
36,9982.015291843061,9982.015291843058,9590.602085614537,9590.602085614531,11031.869779375847,11254.735835524854,9032.070834707225,10389.402917262634,9784.351622697648,9784.351622697652
37,9882.195138924631,10081.835444761487,9494.696064758391,9494.696064758386,10921.551081582089,11367.283193880103,8941.750126360153,10285.508888090008,9686.508106470672,9882.195138924628
38,9981.017090313877,9981.017090313873,9399.749104110808,9589.643025405969,10812.335570766269,11253.610361941302,8852.332625096551,10388.363976970908,9589.643025405965,9981.017090313873
39,10080.827261217015,10080.827261217011,9305.7516130697,9493.74659515191,10704.212215058606,11366.146465560716,8940.855951347516,10492.247616740617,9493.746595151906,9881.206919410735
40,9980.018988604845,9980.018988604841,9212.694096939003,9588.68406110343,10811.254337209191,11479.807930216322,9030.26451086099,10387.32514057321,9588.684061103426,9980.018988604843
41,10079.819178490894,10079.819178490889,9304.821037908394,9684.570901714464,10703.1417938371,11365.009850914159,9120.5671559696,10491.198391978942,9684.57090171446,10079.819178490892
42,10180.617370275802,9979.02098670598,9211.77282752931,9587.725192697319,10810.173211775471,11251.359752405016,9211.772827529296,10386.286408059152,9587.725192697315,10180.6173702758
43,10078.811196573044,9879.23077683892,9119.655099254018,9491.847940770345,10702.071479657716,11363.873349929067,9119.655099254003,10282.42354397856,9683.602444624288,10078.811196573042
44,10179.599308538774,9978.02308460731,9210.851650246557,9586.766420178048,10809.092194454293,11250.234616429776,9210.851650246543,10385.247779418347,9586.766420178044,10179.599308538773
45,10281.395301624163,10077.803315453382,9302.960166749022,9490.898755976268,10701.001272509751,11362.736962594074,9302.960166749008,10281.395301624163,9682.634084379824,10077.803315453384
46,10384.209254640406,9977.025282298848,9209.930565081531,9395.989768416506,10808.011285234848,11249.109592968132,9209.930565081519,10178.58134860792,9585.807743536026,10178.581348607919
47,10488.051347186809,9877.255029475858,9302.029870732347,9489.94966610067,10916.091398087197,11136.618497038451,9117.831259430703,10280.367162094,9681.665820971386,10280.367162093999
48,10592.931860658677,9976.027579770616,9209.009572025025,9584.849162761677,10806.930484106326,11025.252312068067,9026.652946836395,10177.56349047306,9778.4824791811,10383.17083371494
49,10698.861179265263,10075.787855568322,9116.919476304774,9489.00067113406,10698.861179265263,10914.999788947387,9116.91947630476,10075.78785556833,9876.267303972912,10487.002542052089
50,10805.849791057915,9975.029977012638,9025.750281541727,9583.8906778454,10591.87256747261,10805.849791057914,9208.088671067808,10176.545734124013,9975.029977012642,10591.87256747261
51,10913.908288968494,9875.279677242512,9116.007784357143,9488.051771066946,10485.953841797884,10913.908288968492,9116.007784357129,10278.311191465253,10074.780276782769,10697.791293147337
52,10804.769206078809,9776.526880470086,9024.847706513572,9393.171253356277,10590.813380215863,11023.047371858178,9207.1678622007,10381.094303379905,9974.03247401494,10590.813380215863
53,10912.816898139597,9874.292149274786,9115.096183578707,9487.102965889839,10484.905246413704,11133.27784557676,9115.096183578693,10277.283360346106,10073.77279875509,10484.905246413704
54,11021.945067120994,9775.54922778204,9206.247145414494,9392.23193623094,10589.75429887784,11244.610624032528,9206.24714541448,10380.056193949567,10174.51052674264,10380.056193949567
55,11132.164517792204,9873.30472005986,9298.309616868639,9298.309616868632,10695.651841866618,11357.056730272854,9114.184673960335,10276.255632010072,10072.765421475215,10483.856755889063
56,11020.842872614281,9972.037767260457,9205.326520699953,9391.292713037317,10802.608360285285,11243.486162970126,9205.326520699939,10379.018188330172,10173.493075689967,10379.018188330172
57,11131.051301340423,9872.317389587854,9297.379785906953,9297.379785906944,10910.634443888139,11355.921024599827,9297.379785906938,10482.808370213474,10275.228006446867,10482.808370213474
58,11019.740788327019,9773.594215691975,9204.405988047884,9204.405988047874,10801.528099449257,11469.480234845825,9204.405988047869,10377.98028651134,10377.980286511336,10587.636453915607
59,11129.938196210289,9871.330157848895,9296.450047928362,9112.361928167396,10693.512818454765,11584.175037194284,9112.361928167391,10274.200483646226,10481.76008937645,10693.512818454763
60,11018.638814248186,9970.043459427385,9389.414548407645,9203.48554744907,10586.577690270216,11468.33328682234,9203.485547449065,10171.458478809764,10376.942488482686,10800.447946639311
61,10908.452426105705,10069.743894021658,9295.520402923568,9295.520402923561,10692.443467172918,11353.649953954116,9295.520402923556,10273.173063597862,10480.711913367513,10692.443467172918
62,10799.367901844647,10170.441332961875,9202.565198894332,9388.475606952798,10585.519032501188,11467.186453493658,9202.565198894321,10170.441332961884,10585.519032501188,10799.367901844647
63,10907.361580863093,10272.145746291493,9110.53954690539,9482.360363022326,10479.663842176176,11352.51458895872,9110.539546905378,10068.736919632265,10691.3742228262,10907.361580863093
64,10798.287965054462,10374.867203754407,9019.434151436335,9577.183966652548,10374.867203754415,11238.989443069133,9201.644942374433,10169.424288828588,10798.287965054462,10798.287965054462
65,10906.270844705006,10478.615875791951,8929.239809921972,9672.955806319074,10478.615875791958,11351.379337499824,9109.628492950687,10271.118531716875,10906.270844705006,10906.270844705006
66,11015.333553152057,10583.40203454987,9018.532208021192,9576.226248255884,10373.82971703404,11237.865544124827,9200.724777880194,10168.407346399707,10797.208136257956,10797.208136257956
67,11125.486888683577,10477.568014204371,8928.34688594098,9480.463985773325,10270.091419863698,11350.244199566076,9292.732025658996,10270.091419863704,10689.236054895377,10689.236054895377
68,11014.232019796742,10582.343694346415,9017.63035480039,9575.268625631059,10167.390505665062,11236.741757570415,9199.804705402406,10167.390505665067,10582.343694346422,10796.128415444331
69,11124.374339994709,10688.16713128988,8927.454051252387,9479.515939374749,10065.716600608412,11349.109175146119,9107.806658348381,10269.064410721718,10688.167131289887,10688.167131289887
70,11235.618083394656,10581.285459976982,9016.728591764911,9384.720779981002,10166.373766614495,11235.618083394658,9198.884724931866,10166.3737666145,10581.285459976989,10581.285459976989
71,11347.974264228604,10475.472605377212,9106.89587768256,9290.873572181192,10268.03750428064,11123.261902560711,9106.895877682548,10064.710028948355,10687.098314576759,10475.47260537722
72,11461.45400687089,10370.71787932344,9015.826918905736,9197.96483645938,10370.717879323447,11234.494521586317,9197.964836459372,10165.357129237838,10793.969297722526,10580.227331430991
73,11576.0685469396,10474.425058116674,9105.985188094794,9289.944484823973,10474.425058116682,11122.149576370453,9105.985188094779,10063.70355794546,10901.90899069975,10686.029604745301
