,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
0,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,0,0,T,0.0,Win,1,T,,10000,2500.0,1,0,T,1.0,Lose,0,H,,10000,2500.0,1,0,T,1.0,Lose,0,H
1,7500.0,1875.0,2,1,T,1.0,Lose,0,H,,12500.0,3125.0,0,1,T,0.0,Win,2,T,,12500.0,3125.0,0,1,T,0.0,Win,2,T,,12500.0,3125.0,1,1,T,0.5,Lose,1,H,,7500.0,1875.0,2,1,T,1.0,Lose,0,H,,12500.0,3125.0,1,1,T,0.5,Lose,1,H,,7500.0,1875.0,2,1,T,1.0,Lose,0,H,,12500.0,3125.0,1,1,T,0.5,Lose,1,H,,7500.0,1875.0,1,1,T,0.5,Win,1,T,,7500.0,1875.0,1,1,T,0.5,Win,1,T
2,5625.0,1406.25,2,2,H,0.7,Lose,1,T,,15625.0,3906.25,0,2,T,0.0,Win,3,T,,15625.0,3906.25,1,2,T,0.3,Lose,2,H,,9375.0,2343.75,2,2,T,0.7,Lose,1,H,,5625.0,1406.25,3,2,H,1.0,Win,0,H,,9375.0,2343.75,2,2,T,0.7,Lose,1,H,,5625.0,1406.25,3,2,H,1.0,Win,0,H,,9375.0,2343.75,2,2,T,0.7,Lose,1,H,,9375.0,2343.75,1,2,T,0.3,Win,2,T,,9375.0,2343.75,1,2,T,0.3,Win,2,T
3,4218.75,1054.6875,3,3,T,0.8,Lose,1,H,,19531.25,4882.8125,0,3,T,0.0,Win,4,T,,11718.75,2929.6875,2,3,T,0.5,Lose,2,H,,7031.25,1757.8125,2,3,T,0.5,Win,2,T,,7031.25,1757.8125,3,3,H,0.8,Lose,1,T,,7031.25,1757.8125,2,3,T,0.5,Win,2,T,,7031.25,1757.8125,3,3,H,0.8,Lose,1,T,,7031.25,1757.8125,2,3,T,0.5,Win,2,T,,11718.75,2929.6875,2,3,T,0.5,Lose,2,H,,11718.75,2929.6875,2,3,T,0.5,Lose,2,H
4,3164.0625,791.015625,3,4,H,0.6,Lose,2,T,,24414.0625,6103.515625,1,4,T,0.2,Lose,4,H,,8789.0625,2197.265625,3,4,T,0.6,Lose,2,H,,8789.0625,2197.265625,3,4,T,0.6,Lose,2,H,,5273.4375,1318.359375,3,4,H,0.6,Lose,2,T,,8789.0625,2197.265625,3,4,T,0.6,Lose,2,H,,5273.4375,1318.359375,4,4,H,0.8,Win,1,H,,8789.0625,2197.265625,3,4,T,0.6,Lose,2,H,,8789.0625,2197.265625,2,4,T,0.4,Win,3,T,,8789.0625,2197.265625,2,4,T,0.4,Win,3,T
5,2373.046875,593.26171875,4,5,T,0.7,Lose,2,H,,18310.546875,4577.63671875,2,5,T,0.3,Lose,4,H,,6591.796875,1647.94921875,4,5,T,0.7,Lose,2,H,,6591.796875,1647.94921875,3,5,T,0.5,Win,3,T,,3955.078125,988.76953125,4,5,T,0.7,Lose,2,H,,6591.796875,1647.94921875,4,5,T,0.7,Lose,2,H,,6591.796875,1647.94921875,5,5,H,0.8,Win,1,H,,6591.796875,1647.94921875,3,5,T,0.5,Win,3,T,,10986.328125,2746.58203125,3,5,T,0.5,Lose,3,H,,10986.328125,2746.58203125,2,5,T,0.3,Win,4,T
6,1779.78515625,444.9462890625,5,6,H,0.7,Win,2,H,,13732.91015625,3433.2275390625,3,6,T,0.4,Lose,4,H,,4943.84765625,1235.9619140625,5,6,H,0.7,Win,2,H,,8239.74609375,2059.9365234375,3,6,T,0.4,Win,4,T,,2966.30859375,741.5771484375,5,6,H,0.7,Win,2,H,,4943.84765625,1235.9619140625,4,6,H,0.6,Lose,3,T,,8239.74609375,2059.9365234375,5,6,H,0.7,Lose,2,T,,8239.74609375,2059.9365234375,3,6,T,0.4,Win,4,T,,8239.74609375,2059.9365234375,3,6,T,0.4,Win,4,T,,13732.91015625,3433.2275390625,2,6,T,0.3,Win,5,T
7,2224.7314453125,556.182861328125,6,7,H,0.8,Win,2,H,,10299.6826171875,2574.920654296875,3,7,T,0.4,Win,5,T,,6179.8095703125,1544.952392578125,6,7,H,0.8,Win,2,H,,10299.6826171875,2574.920654296875,4,7,T,0.5,Lose,4,H,,3707.8857421875,926.971435546875,5,7,H,0.6,Lose,3,T,,3707.8857421875,926.971435546875,5,7,T,0.6,Lose,3,H,,6179.8095703125,1544.952392578125,5,7,H,0.6,Lose,3,T,,10299.6826171875,2574.920654296875,4,7,T,0.5,Lose,4,H,,10299.6826171875,2574.920654296875,4,7,T,0.5,Lose,4,H,,17166.1376953125,4291.534423828125,2,7,T,0.2,Win,6,T
8,2780.914306640625,695.2285766601562,7,8,H,0.8,Win,2,H,,12874.603271484375,3218.6508178710938,3,8,T,0.3,Win,6,T,,7724.761962890625,1931.1904907226562,7,8,H,0.8,Win,2,H,,7724.761962890625,1931.1904907226562,4,8,T,0.4,Win,5,T,,2780.914306640625,695.2285766601562,6,8,H,0.7,Win,3,H,,2780.914306640625,695.2285766601562,6,8,H,0.7,Win,3,H,,4634.857177734375,1158.7142944335938,5,8,H,0.6,Lose,4,T,,7724.761962890625,1931.1904907226562,5,8,T,0.6,Lose,4,H,,7724.761962890625,1931.1904907226562,4,8,T,0.4,Win,5,T,,21457.672119140625,5364.418029785156,3,8,T,0.3,Lose,6,H
9,3476.1428833007812,869.0357208251953,8,9,H,0.8,Win,2,H,,16093.254089355469,4023.313522338867,4,9,T,0.4,Lose,6,H,,9655.952453613281,2413.9881134033203,8,9,H,0.8,Win,2,H,,9655.952453613281,2413.9881134033203,5,9,T,0.5,Lose,5,H,,3476.1428833007812,869.0357208251953,7,9,H,0.7,Win,3,H,,3476.1428833007812,869.0357208251953,6,9,H,0.6,Lose,4,T,,3476.1428833007812,869.0357208251953,6,9,T,0.6,Lose,4,H,,5793.571472167969,1448.3928680419922,6,9,T,0.6,Lose,4,H,,9655.952453613281,2413.9881134033203,4,9,T,0.4,Win,6,T,,16093.254089355469,4023.313522338867,4,9,T,0.4,Lose,6,H
10,4345.178604125977,1086.2946510314941,8,10,H,0.7,Lose,3,T,,12069.940567016602,3017.4851417541504,4,10,T,0.4,Win,7,T,,12069.940567016602,3017.4851417541504,9,10,H,0.8,Win,2,H,,7241.964340209961,1810.4910850524902,5,10,T,0.5,Win,6,T,,4345.178604125977,1086.2946510314941,7,10,H,0.6,Lose,4,T,,2607.107162475586,651.7767906188965,7,10,T,0.6,Lose,4,H,,2607.107162475586,651.7767906188965,7,10,T,0.6,Lose,4,H,,4345.178604125977,1086.2946510314941,7,10,T,0.6,Lose,4,H,,12069.940567016602,3017.4851417541504,4,10,T,0.4,Win,7,T,,12069.940567016602,3017.4851417541504,5,10,T,0.5,Lose,6,H
