,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,5000.0,5000.0,15000.0,5000.0,5000.0,15000.0,15000.0,5000.0,5000.0,15000.0,5000.0,5000.0,15000.0,5000.0,5000.0,15000.0,15000.0,15000.0,15000.0,15000.0,5000.0,5000.0,5000.0,15000.0,5000.0,15000.0,15000.0,15000.0,15000.0,5000.0,15000.0,15000.0,15000.0,5000.0,15000.0,5000.0,15000.0,15000.0,5000.0,5000.0,5000.0,15000.0,15000.0,5000.0,15000.0,5000.0,15000.0,5000.0,15000.0,15000.0,15000.0,15000.0,15000.0,5000.0,5000.0,15000.0,15000.0,5000.0,5000.0,5000.0,5000.0,5000.0,15000.0,15000.0,5000.0,5000.0,5000.0,15000.0,15000.0,15000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,15000.0,15000.0,15000.0,5000.0,5000.0,15000.0,15000.0,15000.0,15000.0,15000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,15000.0,5000.0,15000.0,5000.0,15000.0
2,7500.0,7500.0,22500.0,2500.0,2500.0,22500.0,7500.0,7500.0,7500.0,7500.0,2500.0,7500.0,22500.0,2500.0,2500.0,22500.0,7500.0,22500.0,22500.0,22500.0,2500.0,7500.0,2500.0,22500.0,2500.0,22500.0,22500.0,22500.0,22500.0,7500.0,22500.0,22500.0,7500.0,7500.0,7500.0,7500.0,7500.0,22500.0,7500.0,7500.0,7500.0,7500.0,22500.0,7500.0,22500.0,2500.0,7500.0,7500.0,22500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,22500.0,22500.0,2500.0,2500.0,7500.0,7500.0,7500.0,22500.0,2500.0,2500.0,7500.0,7500.0,7500.0,2500.0,2500.0,2500.0,2500.0,7500.0,22500.0,22500.0,7500.0,2500.0,7500.0,22500.0,22500.0,22500.0,7500.0,7500.0,7500.0,2500.0,2500.0,7500.0,7500.0,22500.0,2500.0,7500.0,7500.0,22500.0
3,11250.0,3750.0,33750.0,3750.0,1250.0,11250.0,11250.0,11250.0,3750.0,3750.0,3750.0,11250.0,33750.0,3750.0,1250.0,33750.0,11250.0,33750.0,33750.0,33750.0,1250.0,11250.0,3750.0,33750.0,1250.0,11250.0,33750.0,33750.0,33750.0,3750.0,11250.0,33750.0,11250.0,11250.0,11250.0,3750.0,11250.0,11250.0,11250.0,11250.0,3750.0,3750.0,33750.0,3750.0,11250.0,1250.0,3750.0,11250.0,11250.0,3750.0,3750.0,11250.0,3750.0,11250.0,3750.0,3750.0,11250.0,11250.0,11250.0,3750.0,3750.0,3750.0,33750.0,33750.0,1250.0,1250.0,11250.0,11250.0,11250.0,33750.0,3750.0,3750.0,11250.0,11250.0,3750.0,1250.0,1250.0,1250.0,1250.0,3750.0,33750.0,33750.0,11250.0,1250.0,3750.0,33750.0,11250.0,11250.0,3750.0,11250.0,11250.0,1250.0,3750.0,11250.0,11250.0,11250.0,3750.0,3750.0,3750.0,11250.0
4,5625.0,1875.0,50625.0,5625.0,1875.0,16875.0,5625.0,16875.0,1875.0,5625.0,1875.0,16875.0,16875.0,5625.0,1875.0,16875.0,16875.0,16875.0,50625.0,50625.0,1875.0,5625.0,5625.0,50625.0,1875.0,16875.0,50625.0,16875.0,16875.0,5625.0,5625.0,50625.0,5625.0,16875.0,5625.0,1875.0,16875.0,5625.0,16875.0,16875.0,1875.0,5625.0,50625.0,5625.0,16875.0,1875.0,1875.0,5625.0,5625.0,1875.0,1875.0,16875.0,1875.0,5625.0,1875.0,1875.0,5625.0,5625.0,16875.0,1875.0,5625.0,5625.0,50625.0,16875.0,1875.0,1875.0,5625.0,5625.0,5625.0,16875.0,1875.0,5625.0,16875.0,5625.0,5625.0,625.0,625.0,625.0,625.0,1875.0,50625.0,50625.0,16875.0,1875.0,5625.0,50625.0,16875.0,16875.0,1875.0,5625.0,5625.0,1875.0,5625.0,5625.0,5625.0,5625.0,5625.0,1875.0,5625.0,16875.0
5,8437.5,2812.5,75937.5,8437.5,937.5,25312.5,2812.5,8437.5,937.5,2812.5,2812.5,8437.5,8437.5,2812.5,937.5,8437.5,25312.5,25312.5,25312.5,25312.5,937.5,2812.5,2812.5,75937.5,937.5,8437.5,25312.5,25312.5,25312.5,2812.5,8437.5,75937.5,2812.5,8437.5,8437.5,2812.5,8437.5,2812.5,25312.5,8437.5,2812.5,8437.5,25312.5,2812.5,8437.5,2812.5,2812.5,2812.5,8437.5,2812.5,2812.5,8437.5,2812.5,8437.5,2812.5,2812.5,8437.5,2812.5,8437.5,937.5,8437.5,8437.5,75937.5,8437.5,2812.5,2812.5,2812.5,2812.5,8437.5,25312.5,2812.5,2812.5,8437.5,8437.5,8437.5,937.5,937.5,312.5,312.5,2812.5,75937.5,25312.5,25312.5,2812.5,8437.5,75937.5,25312.5,8437.5,2812.5,8437.5,8437.5,2812.5,8437.5,8437.5,2812.5,8437.5,8437.5,2812.5,2812.5,25312.5
6,12656.25,1406.25,37968.75,12656.25,468.75,37968.75,1406.25,12656.25,468.75,4218.75,4218.75,12656.25,12656.25,4218.75,1406.25,12656.25,37968.75,37968.75,12656.25,12656.25,1406.25,4218.75,1406.25,113906.25,1406.25,4218.75,12656.25,37968.75,37968.75,4218.75,12656.25,113906.25,1406.25,12656.25,4218.75,1406.25,4218.75,4218.75,37968.75,12656.25,1406.25,4218.75,12656.25,1406.25,12656.25,4218.75,4218.75,4218.75,4218.75,4218.75,4218.75,4218.75,4218.75,4218.75,4218.75,1406.25,12656.25,1406.25,12656.25,1406.25,4218.75,4218.75,37968.75,12656.25,1406.25,1406.25,1406.25,4218.75,4218.75,12656.25,4218.75,1406.25,12656.25,12656.25,12656.25,1406.25,1406.25,468.75,156.25,1406.25,37968.75,12656.25,12656.25,4218.75,12656.25,113906.25,12656.25,4218.75,4218.75,12656.25,4218.75,1406.25,12656.25,4218.75,1406.25,4218.75,12656.25,1406.25,4218.75,37968.75
7,18984.375,703.125,18984.375,18984.375,703.125,18984.375,703.125,18984.375,703.125,2109.375,2109.375,18984.375,18984.375,2109.375,703.125,6328.125,56953.125,56953.125,6328.125,6328.125,703.125,6328.125,2109.375,170859.375,703.125,6328.125,6328.125,56953.125,56953.125,2109.375,6328.125,170859.375,2109.375,6328.125,2109.375,2109.375,2109.375,2109.375,18984.375,6328.125,2109.375,6328.125,6328.125,703.125,6328.125,6328.125,2109.375,6328.125,2109.375,2109.375,2109.375,6328.125,2109.375,6328.125,6328.125,703.125,6328.125,2109.375,6328.125,703.125,6328.125,2109.375,18984.375,6328.125,2109.375,2109.375,2109.375,2109.375,6328.125,18984.375,6328.125,703.125,18984.375,18984.375,18984.375,703.125,703.125,234.375,78.125,2109.375,56953.125,18984.375,6328.125,6328.125,18984.375,170859.375,18984.375,6328.125,2109.375,18984.375,6328.125,2109.375,6328.125,6328.125,703.125,6328.125,6328.125,703.125,2109.375,56953.125
8,9492.1875,351.5625,9492.1875,28476.5625,351.5625,9492.1875,351.5625,28476.5625,351.5625,3164.0625,1054.6875,9492.1875,9492.1875,1054.6875,351.5625,9492.1875,28476.5625,28476.5625,9492.1875,3164.0625,351.5625,9492.1875,1054.6875,256289.0625,351.5625,9492.1875,3164.0625,28476.5625,28476.5625,1054.6875,9492.1875,256289.0625,1054.6875,9492.1875,3164.0625,3164.0625,3164.0625,1054.6875,28476.5625,9492.1875,3164.0625,3164.0625,9492.1875,1054.6875,9492.1875,9492.1875,1054.6875,9492.1875,1054.6875,3164.0625,3164.0625,9492.1875,1054.6875,3164.0625,9492.1875,1054.6875,3164.0625,3164.0625,9492.1875,1054.6875,3164.0625,1054.6875,9492.1875,9492.1875,3164.0625,3164.0625,3164.0625,1054.6875,3164.0625,9492.1875,9492.1875,1054.6875,9492.1875,28476.5625,28476.5625,1054.6875,351.5625,117.1875,39.0625,1054.6875,85429.6875,28476.5625,3164.0625,9492.1875,9492.1875,256289.0625,9492.1875,9492.1875,1054.6875,9492.1875,9492.1875,1054.6875,3164.0625,3164.0625,1054.6875,9492.1875,3164.0625,1054.6875,1054.6875,28476.5625
9,4746.09375,527.34375,4746.09375,42714.84375,175.78125,4746.09375,527.34375,42714.84375,175.78125,4746.09375,1582.03125,14238.28125,14238.28125,1582.03125,527.34375,14238.28125,42714.84375,42714.84375,4746.09375,1582.03125,175.78125,14238.28125,1582.03125,384433.59375,175.78125,14238.28125,4746.09375,42714.84375,42714.84375,1582.03125,4746.09375,384433.59375,1582.03125,14238.28125,1582.03125,1582.03125,1582.03125,1582.03125,42714.84375,14238.28125,4746.09375,1582.03125,4746.09375,1582.03125,4746.09375,4746.09375,1582.03125,4746.09375,527.34375,1582.03125,1582.03125,14238.28125,527.34375,4746.09375,4746.09375,527.34375,1582.03125,1582.03125,14238.28125,527.34375,1582.03125,527.34375,4746.09375,14238.28125,1582.03125,4746.09375,4746.09375,527.34375,1582.03125,14238.28125,14238.28125,1582.03125,4746.09375,42714.84375,42714.84375,1582.03125,527.34375,175.78125,58.59375,527.34375,128144.53125,42714.84375,1582.03125,14238.28125,14238.28125,384433.59375,4746.09375,4746.09375,527.34375,4746.09375,14238.28125,527.34375,1582.03125,4746.09375,527.34375,4746.09375,4746.09375,1582.03125,527.34375,14238.28125
10,2373.046875,263.671875,2373.046875,64072.265625,263.671875,7119.140625,263.671875,64072.265625,87.890625,2373.046875,2373.046875,21357.421875,7119.140625,791.015625,791.015625,21357.421875,64072.265625,64072.265625,7119.140625,2373.046875,263.671875,7119.140625,791.015625,576650.390625,87.890625,21357.421875,2373.046875,21357.421875,21357.421875,791.015625,2373.046875,576650.390625,791.015625,7119.140625,2373.046875,791.015625,2373.046875,791.015625,64072.265625,7119.140625,7119.140625,2373.046875,7119.140625,2373.046875,2373.046875,7119.140625,2373.046875,2373.046875,791.015625,2373.046875,791.015625,21357.421875,263.671875,2373.046875,2373.046875,263.671875,791.015625,2373.046875,21357.421875,791.015625,2373.046875,791.015625,2373.046875,21357.421875,2373.046875,7119.140625,7119.140625,791.015625,2373.046875,7119.140625,7119.140625,791.015625,7119.140625,21357.421875,21357.421875,2373.046875,263.671875,87.890625,29.296875,791.015625,192216.796875,21357.421875,2373.046875,21357.421875,21357.421875,192216.796875,2373.046875,2373.046875,791.015625,2373.046875,21357.421875,791.015625,791.015625,7119.140625,263.671875,2373.046875,7119.140625,2373.046875,791.015625,7119.140625
11,3559.5703125,131.8359375,1186.5234375,96108.3984375,395.5078125,10678.7109375,395.5078125,32036.1328125,43.9453125,3559.5703125,3559.5703125,10678.7109375,10678.7109375,1186.5234375,395.5078125,32036.1328125,32036.1328125,96108.3984375,10678.7109375,3559.5703125,131.8359375,10678.7109375,1186.5234375,864975.5859375,43.9453125,10678.7109375,1186.5234375,32036.1328125,32036.1328125,1186.5234375,1186.5234375,288325.1953125,395.5078125,10678.7109375,3559.5703125,395.5078125,1186.5234375,1186.5234375,32036.1328125,10678.7109375,10678.7109375,1186.5234375,3559.5703125,1186.5234375,1186.5234375,3559.5703125,1186.5234375,3559.5703125,395.5078125,3559.5703125,1186.5234375,10678.7109375,395.5078125,1186.5234375,1186.5234375,395.5078125,395.5078125,3559.5703125,10678.7109375,1186.5234375,3559.5703125,395.5078125,1186.5234375,32036.1328125,1186.5234375,10678.7109375,3559.5703125,1186.5234375,3559.5703125,10678.7109375,10678.7109375,1186.5234375,3559.5703125,32036.1328125,32036.1328125,1186.5234375,131.8359375,43.9453125,14.6484375,1186.5234375,288325.1953125,32036.1328125,3559.5703125,10678.7109375,10678.7109375,96108.3984375,1186.5234375,3559.5703125,395.5078125,1186.5234375,10678.7109375,395.5078125,1186.5234375,10678.7109375,131.8359375,3559.5703125,3559.5703125,3559.5703125,1186.5234375,10678.7109375
12,5339.35546875,65.91796875,1779.78515625,48054.19921875,197.75390625,5339.35546875,197.75390625,16018.06640625,65.91796875,5339.35546875,1779.78515625,5339.35546875,5339.35546875,593.26171875,197.75390625,16018.06640625,48054.19921875,48054.19921875,16018.06640625,1779.78515625,65.91796875,16018.06640625,593.26171875,1297463.37890625,65.91796875,5339.35546875,593.26171875,16018.06640625,16018.06640625,1779.78515625,1779.78515625,144162.59765625,197.75390625,16018.06640625,5339.35546875,197.75390625,1779.78515625,1779.78515625,16018.06640625,5339.35546875,5339.35546875,1779.78515625,1779.78515625,593.26171875,593.26171875,5339.35546875,593.26171875,5339.35546875,593.26171875,5339.35546875,1779.78515625,16018.06640625,197.75390625,593.26171875,593.26171875,593.26171875,593.26171875,5339.35546875,5339.35546875,593.26171875,5339.35546875,197.75390625,593.26171875,48054.19921875,1779.78515625,16018.06640625,5339.35546875,1779.78515625,5339.35546875,5339.35546875,5339.35546875,593.26171875,5339.35546875,16018.06640625,48054.19921875,1779.78515625,197.75390625,65.91796875,21.97265625,593.26171875,432487.79296875,48054.19921875,1779.78515625,16018.06640625,16018.06640625,48054.19921875,593.26171875,5339.35546875,593.26171875,593.26171875,16018.06640625,197.75390625,1779.78515625,16018.06640625,65.91796875,1779.78515625,5339.35546875,5339.35546875,593.26171875,16018.06640625
