,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,5000.0,15000.0,15000.0,15000.0,5000.0,15000.0,5000.0,5000.0,15000.0,5000.0,5000.0,5000.0,5000.0,5000.0,15000.0,5000.0,5000.0,15000.0,15000.0,15000.0,5000.0,5000.0,15000.0,15000.0,15000.0,5000.0,15000.0,5000.0,15000.0,5000.0,5000.0,15000.0,5000.0,15000.0,15000.0,5000.0,5000.0,15000.0,15000.0,15000.0,15000.0,15000.0,5000.0,5000.0,15000.0,15000.0,5000.0,5000.0,5000.0,15000.0
2,7500.0,7500.0,22500.0,22500.0,2500.0,22500.0,2500.0,7500.0,7500.0,2500.0,2500.0,2500.0,2500.0,7500.0,22500.0,2500.0,2500.0,22500.0,7500.0,7500.0,7500.0,2500.0,22500.0,22500.0,22500.0,7500.0,22500.0,7500.0,22500.0,7500.0,2500.0,7500.0,2500.0,22500.0,7500.0,2500.0,7500.0,7500.0,7500.0,7500.0,22500.0,22500.0,2500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
3,3750.0,3750.0,33750.0,33750.0,1250.0,33750.0,3750.0,11250.0,3750.0,1250.0,1250.0,1250.0,1250.0,11250.0,11250.0,1250.0,3750.0,33750.0,3750.0,3750.0,11250.0,1250.0,11250.0,33750.0,11250.0,11250.0,11250.0,11250.0,11250.0,3750.0,3750.0,3750.0,1250.0,33750.0,3750.0,3750.0,11250.0,11250.0,3750.0,11250.0,33750.0,33750.0,1250.0,11250.0,11250.0,3750.0,11250.0,11250.0,3750.0,11250.0
4,1875.0,1875.0,50625.0,50625.0,1875.0,50625.0,1875.0,5625.0,5625.0,625.0,625.0,1875.0,625.0,5625.0,16875.0,625.0,1875.0,50625.0,1875.0,1875.0,5625.0,1875.0,16875.0,16875.0,5625.0,16875.0,16875.0,5625.0,5625.0,5625.0,1875.0,1875.0,1875.0,16875.0,5625.0,5625.0,16875.0,5625.0,1875.0,5625.0,16875.0,50625.0,1875.0,16875.0,16875.0,1875.0,5625.0,5625.0,5625.0,5625.0
5,2812.5,937.5,75937.5,75937.5,2812.5,25312.5,937.5,2812.5,8437.5,312.5,312.5,2812.5,312.5,8437.5,25312.5,312.5,937.5,75937.5,2812.5,2812.5,8437.5,937.5,8437.5,8437.5,8437.5,25312.5,8437.5,2812.5,2812.5,8437.5,2812.5,937.5,2812.5,8437.5,2812.5,2812.5,8437.5,8437.5,2812.5,2812.5,25312.5,25312.5,937.5,8437.5,25312.5,937.5,8437.5,8437.5,2812.5,2812.5
6,4218.75,468.75,37968.75,113906.25,1406.25,12656.25,468.75,4218.75,12656.25,468.75,156.25,4218.75,468.75,4218.75,12656.25,156.25,468.75,37968.75,1406.25,1406.25,4218.75,1406.25,4218.75,12656.25,4218.75,12656.25,12656.25,1406.25,1406.25,12656.25,1406.25,1406.25,4218.75,4218.75,1406.25,4218.75,12656.25,12656.25,1406.25,1406.25,12656.25,12656.25,468.75,4218.75,37968.75,1406.25,4218.75,4218.75,4218.75,4218.75
7,6328.125,234.375,56953.125,170859.375,2109.375,6328.125,703.125,2109.375,18984.375,703.125,78.125,2109.375,234.375,2109.375,18984.375,78.125,234.375,18984.375,703.125,703.125,6328.125,2109.375,6328.125,6328.125,2109.375,6328.125,6328.125,703.125,703.125,6328.125,2109.375,703.125,2109.375,2109.375,703.125,6328.125,18984.375,6328.125,2109.375,703.125,6328.125,18984.375,234.375,6328.125,18984.375,2109.375,2109.375,2109.375,2109.375,2109.375
8,3164.0625,117.1875,85429.6875,256289.0625,3164.0625,3164.0625,351.5625,3164.0625,9492.1875,351.5625,39.0625,3164.0625,117.1875,3164.0625,28476.5625,117.1875,351.5625,28476.5625,1054.6875,1054.6875,3164.0625,1054.6875,9492.1875,3164.0625,1054.6875,9492.1875,9492.1875,1054.6875,1054.6875,9492.1875,1054.6875,351.5625,3164.0625,1054.6875,1054.6875,9492.1875,28476.5625,9492.1875,3164.0625,351.5625,9492.1875,9492.1875,117.1875,3164.0625,28476.5625,1054.6875,1054.6875,3164.0625,1054.6875,1054.6875
9,4746.09375,58.59375,128144.53125,128144.53125,1582.03125,1582.03125,527.34375,1582.03125,4746.09375,175.78125,58.59375,1582.03125,58.59375,1582.03125,14238.28125,175.78125,527.34375,14238.28125,1582.03125,1582.03125,4746.09375,527.34375,14238.28125,1582.03125,527.34375,4746.09375,14238.28125,527.34375,527.34375,4746.09375,1582.03125,527.34375,1582.03125,527.34375,1582.03125,14238.28125,14238.28125,14238.28125,4746.09375,527.34375,4746.09375,4746.09375,58.59375,4746.09375,42714.84375,1582.03125,527.34375,1582.03125,527.34375,1582.03125
10,2373.046875,87.890625,64072.265625,64072.265625,791.015625,2373.046875,263.671875,791.015625,7119.140625,87.890625,87.890625,791.015625,29.296875,791.015625,21357.421875,87.890625,791.015625,7119.140625,791.015625,2373.046875,2373.046875,791.015625,21357.421875,2373.046875,263.671875,7119.140625,21357.421875,791.015625,263.671875,7119.140625,791.015625,791.015625,791.015625,263.671875,791.015625,21357.421875,7119.140625,21357.421875,7119.140625,791.015625,2373.046875,7119.140625,29.296875,7119.140625,64072.265625,791.015625,263.671875,791.015625,263.671875,791.015625
11,1186.5234375,43.9453125,96108.3984375,32036.1328125,395.5078125,3559.5703125,131.8359375,1186.5234375,10678.7109375,131.8359375,131.8359375,1186.5234375,14.6484375,395.5078125,32036.1328125,131.8359375,395.5078125,10678.7109375,1186.5234375,1186.5234375,1186.5234375,1186.5234375,32036.1328125,3559.5703125,131.8359375,3559.5703125,10678.7109375,395.5078125,131.8359375,10678.7109375,395.5078125,1186.5234375,1186.5234375,395.5078125,1186.5234375,32036.1328125,3559.5703125,32036.1328125,10678.7109375,1186.5234375,3559.5703125,3559.5703125,43.9453125,3559.5703125,32036.1328125,1186.5234375,395.5078125,1186.5234375,131.8359375,395.5078125
12,593.26171875,65.91796875,48054.19921875,16018.06640625,197.75390625,1779.78515625,197.75390625,1779.78515625,5339.35546875,65.91796875,65.91796875,593.26171875,7.32421875,197.75390625,16018.06640625,197.75390625,197.75390625,16018.06640625,593.26171875,1779.78515625,593.26171875,593.26171875,48054.19921875,5339.35546875,197.75390625,5339.35546875,16018.06640625,197.75390625,197.75390625,16018.06640625,593.26171875,1779.78515625,1779.78515625,593.26171875,593.26171875,48054.19921875,5339.35546875,48054.19921875,16018.06640625,593.26171875,1779.78515625,5339.35546875,65.91796875,5339.35546875,48054.19921875,1779.78515625,197.75390625,593.26171875,197.75390625,197.75390625
13,889.892578125,98.876953125,72081.298828125,8009.033203125,98.876953125,889.892578125,98.876953125,2669.677734375,2669.677734375,32.958984375,32.958984375,889.892578125,3.662109375,98.876953125,24027.099609375,296.630859375,296.630859375,24027.099609375,889.892578125,889.892578125,296.630859375,296.630859375,24027.099609375,2669.677734375,98.876953125,8009.033203125,24027.099609375,296.630859375,296.630859375,24027.099609375,296.630859375,2669.677734375,889.892578125,296.630859375,296.630859375,24027.099609375,2669.677734375,72081.298828125,24027.099609375,889.892578125,889.892578125,8009.033203125,98.876953125,2669.677734375,24027.099609375,889.892578125,296.630859375,889.892578125,98.876953125,98.876953125
14,444.9462890625,49.4384765625,36040.6494140625,12013.5498046875,49.4384765625,444.9462890625,49.4384765625,4004.5166015625,4004.5166015625,49.4384765625,16.4794921875,1334.8388671875,5.4931640625,148.3154296875,12013.5498046875,148.3154296875,148.3154296875,12013.5498046875,1334.8388671875,1334.8388671875,444.9462890625,444.9462890625,12013.5498046875,1334.8388671875,148.3154296875,4004.5166015625,12013.5498046875,148.3154296875,148.3154296875,12013.5498046875,444.9462890625,1334.8388671875,444.9462890625,444.9462890625,444.9462890625,12013.5498046875,4004.5166015625,36040.6494140625,36040.6494140625,1334.8388671875,1334.8388671875,4004.5166015625,148.3154296875,4004.5166015625,12013.5498046875,444.9462890625,148.3154296875,1334.8388671875,148.3154296875,148.3154296875
15,667.41943359375,74.15771484375,54060.97412109375,6006.77490234375,24.71923828125,667.41943359375,74.15771484375,2002.25830078125,2002.25830078125,74.15771484375,24.71923828125,2002.25830078125,8.23974609375,74.15771484375,18020.32470703125,74.15771484375,222.47314453125,18020.32470703125,667.41943359375,2002.25830078125,667.41943359375,222.47314453125,18020.32470703125,2002.25830078125,222.47314453125,2002.25830078125,18020.32470703125,74.15771484375,74.15771484375,18020.32470703125,667.41943359375,2002.25830078125,667.41943359375,222.47314453125,667.41943359375,6006.77490234375,2002.25830078125,18020.32470703125,54060.97412109375,667.41943359375,2002.25830078125,2002.25830078125,222.47314453125,2002.25830078125,6006.77490234375,667.41943359375,74.15771484375,2002.25830078125,74.15771484375,222.47314453125
16,333.709716796875,111.236572265625,27030.487060546875,3003.387451171875,37.078857421875,333.709716796875,111.236572265625,3003.387451171875,3003.387451171875,37.078857421875,37.078857421875,3003.387451171875,12.359619140625,111.236572265625,27030.487060546875,37.078857421875,333.709716796875,9010.162353515625,333.709716796875,1001.129150390625,1001.129150390625,333.709716796875,9010.162353515625,1001.129150390625,111.236572265625,3003.387451171875,27030.487060546875,37.078857421875,111.236572265625,27030.487060546875,333.709716796875,3003.387451171875,1001.129150390625,333.709716796875,333.709716796875,3003.387451171875,1001.129150390625,27030.487060546875,27030.487060546875,1001.129150390625,1001.129150390625,3003.387451171875,111.236572265625,3003.387451171875,3003.387451171875,1001.129150390625,37.078857421875,3003.387451171875,37.078857421875,111.236572265625
17,500.5645751953125,55.6182861328125,40545.73059082031,4505.0811767578125,18.5394287109375,500.5645751953125,55.6182861328125,1501.6937255859375,4505.0811767578125,18.5394287109375,55.6182861328125,4505.0811767578125,18.5394287109375,55.6182861328125,13515.243530273438,18.5394287109375,500.5645751953125,4505.0811767578125,166.8548583984375,1501.6937255859375,1501.6937255859375,500.5645751953125,4505.0811767578125,1501.6937255859375,55.6182861328125,4505.0811767578125,13515.243530273438,18.5394287109375,55.6182861328125,40545.73059082031,500.5645751953125,1501.6937255859375,500.5645751953125,166.8548583984375,500.5645751953125,4505.0811767578125,1501.6937255859375,13515.243530273438,13515.243530273438,500.5645751953125,1501.6937255859375,4505.0811767578125,166.8548583984375,1501.6937255859375,1501.6937255859375,1501.6937255859375,55.6182861328125,1501.6937255859375,18.5394287109375,55.6182861328125
18,750.8468627929688,83.42742919921875,60818.59588623047,2252.5405883789062,27.80914306640625,750.8468627929688,83.42742919921875,750.8468627929688,2252.5405883789062,27.80914306640625,83.42742919921875,6757.621765136719,9.26971435546875,83.42742919921875,20272.865295410156,9.26971435546875,750.8468627929688,6757.621765136719,83.42742919921875,750.8468627929688,750.8468627929688,250.28228759765625,2252.5405883789062,2252.5405883789062,27.80914306640625,6757.621765136719,6757.621765136719,27.80914306640625,83.42742919921875,60818.59588623047,250.28228759765625,750.8468627929688,250.28228759765625,250.28228759765625,250.28228759765625,2252.5405883789062,750.8468627929688,20272.865295410156,20272.865295410156,750.8468627929688,750.8468627929688,2252.5405883789062,250.28228759765625,750.8468627929688,750.8468627929688,750.8468627929688,83.42742919921875,750.8468627929688,27.80914306640625,83.42742919921875
19,1126.2702941894531,41.713714599609375,30409.297943115234,3378.8108825683594,41.713714599609375,1126.2702941894531,125.14114379882812,1126.2702941894531,1126.2702941894531,41.713714599609375,125.14114379882812,3378.8108825683594,4.634857177734375,41.713714599609375,10136.432647705078,4.634857177734375,1126.2702941894531,10136.432647705078,125.14114379882812,1126.2702941894531,375.4234313964844,375.4234313964844,3378.8108825683594,1126.2702941894531,41.713714599609375,10136.432647705078,3378.8108825683594,13.904571533203125,41.713714599609375,91227.8938293457,125.14114379882812,375.4234313964844,125.14114379882812,375.4234313964844,125.14114379882812,3378.8108825683594,375.4234313964844,30409.297943115234,30409.297943115234,375.4234313964844,1126.2702941894531,1126.2702941894531,375.4234313964844,375.4234313964844,375.4234313964844,1126.2702941894531,41.713714599609375,375.4234313964844,41.713714599609375,41.713714599609375
20,1689.4054412841797,62.57057189941406,15204.648971557617,5068.216323852539,20.856857299804688,1689.4054412841797,187.7117156982422,1689.4054412841797,563.1351470947266,62.57057189941406,62.57057189941406,5068.216323852539,6.9522857666015625,62.57057189941406,15204.648971557617,6.9522857666015625,563.1351470947266,5068.216323852539,187.7117156982422,1689.4054412841797,187.7117156982422,187.7117156982422,5068.216323852539,563.1351470947266,62.57057189941406,15204.648971557617,5068.216323852539,6.9522857666015625,20.856857299804688,136841.84074401855,187.7117156982422,563.1351470947266,187.7117156982422,563.1351470947266,187.7117156982422,5068.216323852539,187.7117156982422,15204.648971557617,45613.94691467285,187.7117156982422,1689.4054412841797,563.1351470947266,563.1351470947266,563.1351470947266,563.1351470947266,563.1351470947266,20.856857299804688,187.7117156982422,20.856857299804688,62.57057189941406
21,844.7027206420898,93.8558578491211,22806.973457336426,7602.324485778809,31.28528594970703,2534.1081619262695,93.8558578491211,2534.1081619262695,844.7027206420898,31.28528594970703,93.8558578491211,2534.1081619262695,3.4761428833007812,93.8558578491211,7602.324485778809,10.428428649902344,844.7027206420898,7602.324485778809,281.5675735473633,844.7027206420898,93.8558578491211,281.5675735473633,7602.324485778809,844.7027206420898,93.8558578491211,7602.324485778809,2534.1081619262695,10.428428649902344,31.28528594970703,205262.76111602783,93.8558578491211,844.7027206420898,93.8558578491211,281.5675735473633,93.8558578491211,7602.324485778809,281.5675735473633,7602.324485778809,22806.973457336426,281.5675735473633,2534.1081619262695,844.7027206420898,844.7027206420898,281.5675735473633,281.5675735473633,281.5675735473633,31.28528594970703,281.5675735473633,31.28528594970703,93.8558578491211
