,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0
0,10000,500.0,1.0,H,H,Win,1,0,,0,10000,500.0,0.0,H,T,Lose,0,1,,0,10000,500.0,0.0,H,T,Lose,0,1,,0,10000,500.0,1.0,H,H,Win,1,0,,0,10000,500.0,1.0,H,H,Win,1,0,,0,10000,500.0,1.0,H,H,Win,1,0,,0,10000,500.0,0.0,H,T,Lose,0,1,,0,10000,500.0,1.0,H,H,Win,1,0,,0,10000,500.0,0.0,H,T,Lose,0,1,,0,10000,500.0,0.0,H,T,Lose,0,1,
1,10500.0,525.0,0.5,H,T,Lose,1,1,,1,9500.0,475.0,0.5,H,H,Win,1,1,,1,9500.0,475.0,0.5,H,H,Win,1,1,,1,10500.0,525.0,0.5,H,T,Lose,1,1,,1,10500.0,525.0,0.5,H,T,Lose,1,1,,1,10500.0,525.0,1.0,T,H,Lose,2,0,,1,9500.0,475.0,0.0,H,T,Lose,0,2,,1,10500.0,525.0,1.0,H,H,Win,2,0,,1,9500.0,475.0,0.0,H,T,Lose,0,2,,1,9500.0,475.0,0.5,H,H,Win,1,1,
2,9975.0,498.75,0.7,H,H,Win,2,1,,2,9975.0,498.75,0.3,H,T,Lose,1,2,,2,9975.0,498.75,0.3,H,T,Lose,1,2,,2,9975.0,498.75,0.3,H,T,Lose,1,2,,2,9975.0,498.75,0.3,H,T,Lose,1,2,,2,9975.0,498.75,1.0,T,H,Lose,3,0,,2,9025.0,451.25,0.3,H,H,Win,1,2,,2,11025.0,551.25,1.0,T,H,Lose,3,0,,2,9025.0,451.25,0.3,H,H,Win,1,2,,2,9975.0,498.75,0.3,H,T,Lose,1,2,
3,10473.75,523.6875,0.5,T,T,Win,2,2,,3,9476.25,473.8125,0.2,H,T,Lose,1,3,,3,9476.25,473.8125,0.2,H,T,Lose,1,3,,3,9476.25,473.8125,0.5,H,H,Win,2,2,,3,9476.25,473.8125,0.5,H,H,Win,2,2,,3,9476.25,473.8125,0.8,T,T,Win,3,1,,3,9476.25,473.8125,0.5,H,H,Win,2,2,,3,10473.75,523.6875,1.0,T,H,Lose,4,0,,3,9476.25,473.8125,0.2,H,T,Lose,1,3,,3,9476.25,473.8125,0.2,H,T,Lose,1,3,
4,10997.4375,549.871875,0.6,H,H,Win,3,2,,4,9002.4375,450.12187500000005,0.4,H,H,Win,2,3,,4,9002.4375,450.12187500000005,0.4,H,H,Win,2,3,,4,9950.0625,497.503125,0.4,H,T,Lose,2,3,,4,9950.0625,497.503125,0.6,H,H,Win,3,2,,4,9950.0625,497.503125,0.8,T,H,Lose,4,1,,4,9950.0625,497.503125,0.4,H,T,Lose,2,3,,4,9950.0625,497.503125,1.0,T,H,Lose,5,0,,4,9002.4375,450.12187500000005,0.2,H,T,Lose,1,4,,4,9002.4375,450.12187500000005,0.2,H,T,Lose,1,4,
5,11547.309375,577.3654687500001,0.5,T,T,Win,3,3,,5,9452.559375,472.62796875000004,0.5,H,H,Win,3,3,,5,9452.559375,472.62796875000004,0.3,H,T,Lose,2,4,,5,9452.559375,472.62796875000004,0.3,H,T,Lose,2,4,,5,10447.565625,522.37828125,0.7,H,H,Win,4,2,,5,9452.559375,472.62796875000004,0.8,T,H,Lose,5,1,,5,9452.559375,472.62796875000004,0.5,H,H,Win,3,3,,5,9452.559375,472.62796875000004,0.8,T,T,Win,5,1,,5,8552.315625,427.61578125,0.2,H,T,Lose,1,5,,5,8552.315625,427.61578125,0.3,H,H,Win,2,4,
6,12124.674843750001,606.2337421875001,0.4,H,T,Lose,3,4,,6,9925.18734375,496.2593671875,0.6,H,H,Win,4,3,,6,8979.931406250002,448.9965703125001,0.3,H,T,Lose,2,5,,6,8979.931406250002,448.9965703125001,0.3,H,T,Lose,2,5,,6,10969.943906249999,548.4971953124999,0.6,T,T,Win,4,3,,6,8979.931406250002,448.9965703125001,0.9,T,H,Lose,6,1,,6,9925.18734375,496.2593671875,0.6,H,H,Win,4,3,,6,9925.18734375,496.2593671875,0.7,T,T,Win,5,2,,6,8124.69984375,406.2349921875,0.1,H,T,Lose,1,6,,6,8979.93140625,448.9965703125,0.3,H,T,Lose,2,5,
7,11518.441101562501,575.922055078125,0.5,H,H,Win,4,4,,7,10421.4467109375,521.072335546875,0.6,T,H,Lose,5,3,,7,8530.934835937502,426.5467417968751,0.4,H,H,Win,3,5,,7,8530.934835937502,426.5467417968751,0.4,H,H,Win,3,5,,7,11518.4411015625,575.922055078125,0.5,H,T,Lose,4,4,,7,8530.934835937502,426.5467417968751,0.9,T,H,Lose,7,1,,7,10421.4467109375,521.072335546875,0.5,H,T,Lose,4,4,,7,10421.4467109375,521.072335546875,0.8,T,H,Lose,6,2,,7,7718.4648515624995,385.923242578125,0.1,H,T,Lose,1,7,,7,8530.9348359375,426.54674179687504,0.4,H,H,Win,3,5,
8,12094.363156640626,604.7181578320314,0.4,H,T,Lose,4,5,,8,9900.374375390626,495.0187187695313,0.6,T,T,Win,5,4,,8,8957.481577734377,447.8740788867189,0.4,H,H,Win,4,5,,8,8957.481577734377,447.8740788867189,0.4,H,H,Win,4,5,,8,10942.519046484374,547.1259523242187,0.6,H,H,Win,5,4,,8,8104.388094140627,405.21940470703134,0.8,T,T,Win,7,2,,8,9900.374375390626,495.0187187695313,0.6,H,H,Win,5,4,,8,9900.374375390626,495.0187187695313,0.7,T,T,Win,6,3,,8,7332.541608984375,366.62708044921874,0.2,H,H,Win,2,7,,8,8957.481577734376,447.8740788867188,0.3,H,T,Lose,3,6,
9,11489.644998808595,574.4822499404298,0.4,H,T,Lose,4,6,,9,10395.393094160157,519.7696547080079,0.5,H,T,Lose,5,5,,9,9405.355656621095,470.2677828310548,0.4,H,T,Lose,4,6,,9,9405.355656621095,470.2677828310548,0.5,H,H,Win,5,5,,9,11489.644998808593,574.4822499404297,0.5,T,T,Win,5,5,,9,8509.607498847658,425.4803749423829,0.8,T,H,Lose,8,2,,9,10395.393094160157,519.7696547080079,0.6,T,H,Lose,6,4,,9,10395.393094160157,519.7696547080079,0.7,T,H,Lose,7,3,,9,7699.1686894335935,384.9584344716797,0.2,H,T,Lose,2,8,,9,8509.607498847658,425.4803749423829,0.3,H,T,Lose,3,7,
10,10915.162748868166,545.7581374434084,0.5,H,H,Win,5,6,,10,9875.623439452149,493.78117197260747,0.5,T,T,Win,5,6,,10,8935.08787379004,446.754393689502,0.5,H,H,Win,5,6,,10,9875.62343945215,493.7811719726076,0.5,H,T,Lose,5,6,,10,12064.127248749022,603.2063624374512,0.5,H,T,Lose,5,6,,10,8084.127123905275,404.20635619526377,0.7,T,T,Win,8,3,,10,9875.623439452149,493.78117197260747,0.6,H,H,Win,7,4,,10,9875.623439452149,493.78117197260747,0.7,T,H,Lose,8,3,,10,7314.210254961914,365.7105127480957,0.2,H,T,Lose,2,9,,10,8084.127123905275,404.20635619526377,0.3,H,T,Lose,3,8,
11,11460.920886311575,573.0460443155788,0.4,H,T,Lose,5,7,,11,10369.404611424756,518.4702305712378,0.4,H,T,Lose,5,7,,11,9381.842267479542,469.0921133739771,0.5,H,H,Win,6,6,,11,9381.842267479544,469.0921133739772,0.4,H,T,Lose,5,7,,11,11460.920886311571,573.0460443155786,0.4,H,T,Lose,5,7,,11,8488.333480100539,424.41667400502695,0.7,T,T,Win,8,4,,11,10369.404611424756,518.4702305712378,0.6,T,T,Win,7,5,,11,9381.842267479542,469.0921133739771,0.8,T,H,Lose,9,3,,11,6948.4997422138185,347.42498711069095,0.2,H,H,Win,3,9,,11,7679.920767710011,383.9960383855006,0.3,H,H,Win,4,8,
12,10887.874841995996,544.3937420997999,0.4,H,T,Lose,5,8,,12,9850.934380853518,492.54671904267593,0.4,H,T,Lose,5,8,,12,9850.93438085352,492.546719042676,0.5,T,H,Lose,7,6,,12,8912.750154105566,445.6375077052783,0.5,H,H,Win,6,7,,12,10887.874841995992,544.3937420997996,0.5,H,H,Win,6,7,,12,8912.750154105566,445.6375077052783,0.7,T,H,Lose,9,4,,12,10887.874841995994,544.3937420997997,0.5,T,T,Win,7,6,,12,8912.750154105564,445.63750770527827,0.8,T,H,Lose,10,3,,12,7295.92472932451,364.79623646622554,0.2,H,T,Lose,3,10,,12,8063.916806095512,403.19584030477563,0.3,H,T,Lose,4,9,
