,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,9900.0,9900.0,9900.0,9900.0,10100.0,10100.0,9900.0,9900.0,10100.0,10100.0
2,9801.0,9999.0,9801.0,9801.0,10201.0,9999.0,9999.0,9801.0,10201.0,9999.0
3,9702.99,9899.01,9702.99,9702.99,10098.99,10098.99,9899.01,9702.99,10098.99,9899.01
4,9605.9601,9998.000100000001,9800.0199,9800.0199,9998.0001,9998.0001,9800.0199,9605.9601,10199.9799,9998.000100000001
5,9509.900499,10097.980101000001,9702.019701,9702.019701,9898.020099,10097.980101,9702.019701,9702.019701000001,10301.979699,9898.020099000001
6,9414.80149401,10198.959902010001,9604.999503989999,9799.03989801,9997.000299989999,9997.000299989999,9604.999503989999,9799.039898010002,10404.99949599,9997.00029999
7,9320.6534790699,10096.970302989901,9508.949508950098,9897.0302969901,9897.030296990099,10096.9703029899,9508.949508950098,9897.030296990102,10300.9495010301,10096.970302989901
8,9227.446944279201,10197.9400060198,9413.860013860596,9798.0599940202,9798.059994020197,9996.00059996,9604.0390040396,9996.000599960003,10197.940006019799,10197.9400060198
9,9319.721413721994,10299.919406079998,9507.998613999202,9896.0405939604,9700.079394079996,10095.960605959599,9507.998613999203,9896.040593960404,10095.9606059596,10299.919406079998
10,9412.918627859215,10402.918600140798,9412.91862785921,9797.080188020796,9603.078600139195,9995.000999900003,9412.918627859211,9797.0801880208,9995.000999900005,10402.918600140798
11,9507.047814137808,10506.947786142206,9318.789441580617,9699.109386140588,9699.109386140588,10094.951009899003,9318.789441580619,9699.109386140592,9895.050989901005,10506.947786142206
12,9602.118292279187,10401.878308280784,9225.60154716481,9796.100480001995,9796.100480001995,9994.001499800013,9225.601547164812,9796.100480001998,9796.100480001995,10401.878308280784
13,9506.097109356395,10505.897091363591,9317.857562636458,9894.061484802014,9894.061484802014,10093.941514798013,9133.345531693163,9894.061484802018,9698.139475201975,10297.859525197977
14,9411.03613826283,10400.838120449955,9411.036138262823,9795.120869953995,9993.002099650033,9993.002099650032,9042.012076376232,9795.120869953998,9601.158080449955,10400.838120449956
15,9316.925776880202,10296.829739245455,9505.146499645452,9697.169661254455,9893.072078653533,10092.932120646532,8951.59195561247,9697.169661254458,9505.146499645456,10504.846501654456
16,9223.756519111399,10193.861441853001,9410.095034648997,9794.141357867,9992.002799440068,10193.861441852998,9041.107875168595,9600.197964641913,9600.197964641911,10399.79803663791
17,9131.518953920286,10295.800056271532,9504.195984995487,9696.19994428833,9892.082771445668,10295.800056271528,9131.51895392028,9504.195984995495,9504.195984995493,10503.79601700429
