,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,9000.0,9000.0,9000.0,11000.0,11000.0,11000.0,9000.0,11000.0,9000.0,9000.0
2,8100.0,9900.0,9900.0,9900.0,9900.0,12100.0,9900.0,12100.0,9900.0,8100.0
3,8910.0,8910.0,10890.0,8910.0,10890.0,10890.0,10890.0,10890.0,8910.0,7290.0
4,9801.0,8019.0,11979.0,9801.0,9801.0,9801.0,9801.0,9801.0,8019.0,6561.0
5,10781.1,8820.9,10781.1,8820.9,8820.9,10781.1,8820.9,10781.1,7217.1,5904.9
6,9702.99,9702.99,11859.210000000001,7938.8099999999995,9702.99,11859.210000000001,7938.8099999999995,9702.99,7938.81,5314.41
7,10673.289,8732.690999999999,10673.289,7144.928999999999,10673.289,13045.131000000001,7144.928999999999,8732.690999999999,7144.929,5845.851
8,9605.9601,9605.960099999998,11740.617900000001,6430.436099999999,11740.617900000001,14349.644100000001,6430.436099999999,7859.421899999999,7859.4219,5261.265899999999
9,8645.364090000001,8645.36409,10566.556110000001,7073.479709999999,10566.556110000001,15784.608510000002,5787.392489999999,7073.47971,8645.364090000001,4735.13931
10,9509.900499000001,7780.827680999999,11623.211721000001,6366.131738999999,9509.900499000001,17363.069361,5208.653240999999,6366.1317389999995,7780.827681000001,4261.625378999999
11,8558.910449100002,8558.910449099998,10460.8905489,5729.518565099998,8558.910449100002,15626.762424900002,4687.787916899999,7002.7449129,8558.9104491,3835.4628410999994
12,9414.801494010002,9414.801494009998,9414.80149401,6302.470421609998,7703.019404190001,14064.086182410001,5156.566708589999,7703.0194041899995,7703.0194041899995,3451.9165569899997
13,10356.281643411003,10356.281643411,8473.321344609,6932.717463770998,6932.717463771001,12657.677564169,4640.910037730999,8473.321344609,8473.321344609,3797.1082126889996
14,9320.653479069902,11391.9098077521,7625.989210148099,6239.445717393898,7625.989210148102,11391.9098077521,4176.819033957899,7625.989210148099,9320.653479069899,3417.3973914200997
15,8388.588131162913,10252.718826976889,6863.390289133289,5615.501145654508,8388.588131162913,10252.718826976889,3759.1371305621087,6863.390289133289,10252.718826976889,3759.1371305621096
16,7549.729318046621,11277.990709674577,7549.729318046619,5053.951031089057,7549.729318046621,9227.4469442792,3383.223417505898,6177.05126021996,9227.4469442792,3383.2234175058984
17,8304.702249851283,10150.19163870712,8304.70224985128,5559.346134197963,8304.702249851283,10150.19163870712,3044.9010757553083,5559.346134197964,10150.19163870712,3044.9010757553087
18,9135.172474836412,11165.210802577833,7474.232024866152,5003.411520778167,9135.172474836412,11165.210802577833,2740.4109681797772,6115.28074761776,11165.210802577833,2740.4109681797777
19,10048.689722320054,12281.731882835616,8221.655227352767,5503.752672855983,8221.65522735277,10048.689722320049,2466.3698713617996,6726.808822379537,10048.689722320049,2466.3698713618
20,9043.820750088049,11053.558694552055,9043.820750088043,6054.127940141581,7399.489704617494,9043.820750088043,2219.7328842256197,6054.127940141583,9043.820750088043,2713.00685849798
21,9948.202825096854,9948.20282509685,8139.438675079239,5448.715146127423,8139.438675079244,8139.438675079239,2441.7061726481816,5448.715146127425,8139.438675079239,2984.307544347778
22,10943.02310760654,10943.023107606536,8953.382542587164,4903.843631514681,8953.382542587167,8953.382542587164,2197.5355553833633,5993.586660740168,8953.382542587164,3282.738298782556
23,9848.720796845886,12037.325418367189,8058.044288328447,4413.459268363213,9848.720796845884,9848.72079684588,1977.781999845027,6592.945326814184,8058.044288328447,3611.0121286608114
24,8863.848717161298,10833.59287653047,7252.239859495602,3972.1133415268914,10833.592876530472,8863.848717161292,1780.0037998605244,5933.650794132765,7252.239859495602,3972.1133415268923
25,9750.233588877427,11916.952164183518,6527.015873546042,3574.902007374202,11916.95216418352,7977.463845445163,1602.003419874472,6527.015873546042,7977.463845445162,4369.324675679582
26,8775.210229989683,10725.256947765167,7179.717460900646,3932.3922081116225,13108.647380601871,8775.21022998968,1762.2037618619192,7179.717460900646,7179.717460900646,4806.25714324754
27,9652.731252988651,11797.782642541684,6461.745714810581,3539.15298730046,14419.512118662058,9652.731252988648,1938.4241380481112,7897.689206990711,6461.745714810581,5286.882857572294
28,10618.004378287516,10618.004378287516,7107.920286291639,3893.068286030506,15861.463330528264,10618.004378287513,2132.2665518529225,8687.458127689782,7107.920286291639,5815.571143329523
